movieId,user_id,rating
1,0,7
14,0,8
150,0,9
163,0,7
168,0,6
208,0,6
356,0,8
380,0,6
588,0,8
595,0,6
914,0,7
924,0,10
1200,0,8
1214,0,8
1215,0,7
1225,0,7
1272,0,7
1291,0,7
1396,0,8
1483,0,6
1566,0,6
1584,0,9
1619,0,7
1653,0,9
1676,0,6
1704,0,9
1779,0,7
1876,0,8
1882,0,6
1961,0,6
2028,0,10
2115,0,6
2193,0,7
2252,0,7
2336,0,7
2890,0,6
3033,0,7
3081,0,7
3114,0,7
3175,0,8
3307,0,8
3494,0,8
3510,0,7
3527,0,6
3578,0,6
3668,0,7
3720,0,7
3751,0,9
3793,0,6
3827,0,7
3998,0,7
4014,0,7
4017,0,8
4019,0,7
4022,0,10
4025,0,6
4246,0,6
4306,0,6
4308,0,7
4719,0,6
4901,0,8
5010,0,6
5410,0,8
5445,0,8
5628,0,6
5796,0,7
5903,0,6
5989,0,9
6942,0,7
7147,0,7
7163,0,7
7293,0,6
7579,0,7
8158,0,7
8360,0,6
8784,0,7
8807,0,6
8907,0,6
8949,0,7
8958,0,7
25825,0,7
26764,0,7
30707,0,8
31685,0,7
31696,0,6
33162,0,7
33649,0,7
33794,0,8
34048,0,6
34162,0,6
34405,0,7
36529,0,8
40278,0,6
40851,0,7
43928,0,5
44191,0,7
44199,0,6
46578,0,8
47997,0,6
48774,0,10
48982,0,7
51084,0,6
51255,0,8
51662,0,6
51935,0,6
52245,0,6
53121,0,5
53123,0,7
54259,0,7
54503,0,7
55052,0,8
56152,0,7
56174,0,6
56367,0,7
56788,0,7
57669,0,7
58162,0,6
58490,0,7
58998,0,7
59315,0,6
59369,0,6
60072,0,6
60126,0,7
61024,0,7
61132,0,6
62434,0,6
64614,0,7
66665,0,7
68237,0,8
68358,0,7
68791,0,6
69992,0,7
70286,0,7
71057,0,8
71535,0,7
72998,0,7
73023,0,7
75395,0,7
76077,0,6
76293,0,6
77561,0,5
78499,0,7
79091,0,7
79132,0,9
80549,0,6
81564,0,6
84944,0,6
86190,0,6
87306,0,7
87869,0,6
88129,0,7
88405,0,6
89470,0,9
89904,0,7
93510,0,7
93740,0,7
95441,0,6
96079,0,6
96417,0,7
96588,0,7
96693,0,7
96737,0,7
97752,0,7
97913,0,6
98154,0,9
98491,0,7
98961,0,7
99007,0,7
99112,0,7
100714,0,6
101362,0,6
101864,0,6
102125,0,5
102445,0,6
102903,0,6
103228,0,7
103253,0,7
103306,0,7
103980,0,6
105954,0,8
106766,0,6
106920,0,6
107069,0,7
107141,0,7
107406,0,7
109487,0,9
110730,0,6
111443,0,8
111622,0,8
111659,0,7
111743,0,6
111759,0,7
112175,0,5
112552,0,7
112623,0,6
112852,0,6
115122,0,7
115713,0,8
116797,0,7
117176,0,8
117444,0,7
118702,0,6
120380,0,9
122470,0,7
122900,0,8
127114,0,6
127202,0,8
131656,0,6
132112,0,7
134368,0,7
139644,0,7
143385,0,7
146656,0,6
152081,0,6
158657,0,6
162350,0,6
163745,0,8
170827,0,6
172679,0,6
